idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun
597,2484,Collinder_463,UBC_433,3959.819725059611,21.18800081870613,0.0745295748821487,0.003517536907793,80820.7123657992,False,2026.78961596,530.27450325
828,1530,HSC_142,NGC_3033,2593.3288507347165,52.80862828197281,0.0615292888149838,0.001165137039471,736624.2005634935,False,466.55691331,674.82319052
1504,2603,NGC_2533,UBC_1044,4888.254868774038,118.36691994119693,0.0617805319041709,0.0005219408592777,3670771.976774904,False,1386.83809314,782.19432607
314,2005,CWNU_388,Teutsch_J1037.3-6034,7687.8591407570575,218.13656675365763,0.0482520531044806,0.0002212011210342,20437386.24728044,False,251.10472078,1829.76996635
1044,2768,HSC_1764,UBC_1513,3459.5796215699866,28.55223394149883,0.0388781649535623,0.0013616505466164,539347.5006328083,False,257.96259277,349.95367043
442,2393,CWNU_1791,UBC_241,3196.087982607108,55.72262387626223,0.0445721010870696,0.0007998923594489,1562920.5557797502,False,236.11209548,502.05359456
1810,2535,Pismis_12,UBC_534,1957.338736227584,51.939083887726326,0.1149159612758615,0.0022125142123081,204280.9466683629,False,2328.34954269,676.58914482
173,1815,Berkeley_14A,Pismis_27,1086.6538600768135,2.1890082425188444,0.0485200519575887,0.0221653125900329,2035.4117591067804,False,106.0168054,191.38435391
1180,2948,HSC_2961,UPK_621,860.6608708107689,16.5420982178414,0.0827483283251323,0.0050022873299038,39963.42781924493,False,523.48730831,161.62131205
64,1613,Alessi_72,NGC_6561,2670.0172845003294,11.117033605565668,0.0470774403715457,0.0042347124279607,55763.77331048178,False,275.67782416,412.25918234
109,2928,Basel_8,UPK_502,1237.1695486595688,32.07423227875562,0.043176994656373,0.001346158320521,551833.0663049981,False,175.87159035,92.25689643
270,2357,CWNU_218,UBC_166,4743.92420707864,123.81808661415712,0.0380081810610663,0.0003069679244802,10612409.61488899,False,271.17979405,525.53123614
2297,2844,UBC_54,UPK_13,1915.0541422860335,16.035786463283557,0.0763131348239604,0.004758926853927,44155.20859408877,False,962.74245309,333.80543017
