pair_id,cluster1,cluster2,log_age1,log_age2,log_age_mean,age_yr,age_myr,mass1_msun,mass2_msun,mass_total_msun,separation_pc,vesc_kms,vrel_kms,dsi,p_bound,p_dis,m_dis_msun,vrel_over_vesc,tf_mean,ra1_deg,dec1_deg,parallax1_mas,pmra1_masyr,pmdec1_masyr,rv1_kms,ra2_deg,dec2_deg,parallax2_mas,pmra2_masyr,pmdec2_masyr,rv2_kms,d_now_pc,d_min_pc,t_d_min_myr,d_now_over_d_min,expansion_factor,is_expanding,delta_d_pc,compact_origin_class,class_label,reduced_mass_msun,e_k_msun_kms2,e_g_msun_kms2,e_orb_msun_kms2,energy_ratio,bound_energy_flag,energy_ratio_from_velocity,energy_ratio_check_absdiff,energy_ratio_check_reldiff
2,HSC_1071,Stock_5,7.45,7.85,7.65,44668359.21509635,44.668359215096345,57.4743,278.285,335.75930000000005,14.71653,0.44306,9.82883,0.0450775931621566,0.0539229815088024,0.9460770184911976,317.6541574746916,22.18397056832032,15.18625,33.44864,64.34147,1.02875,-0.70096,-2.20432,-20.49247,31.13864,64.3711,1.04724,-0.81323,-2.19129,-25.99978,24.02797442754608,15.57178560365031,-3.0,1.5430455465501327,1.5430455465501327,True,8.45618882389577,A_compact_origin,A: Dmin < 20 pc,47.63601656156657,2300.9601063773753,4.674327712247137,2296.285778665128,492.2547686052614,False,492.1285501761021,0.12621842915928028,0.0002564087484960348
4,Markarian_38,Turner_3,6.9,8.75,7.825,66834391.756861486,66.83439175686148,119.6895,239.6745,359.364,36.66183,0.29041,11.96233,0.0242770430175392,0.0508267346004587,0.9491732653995412,341.0987013470407,41.19117798973864,104.347085,273.83725,-19.02347,0.55647,0.82052,-2.34236,17.62846,274.35145,-19.02973,0.54777,0.61157,-2.45888,24.11801,32.416195544619086,21.44799501827578,-3.5,1.511385820306156,1.511385820306156,True,10.968200526343306,B_loose_complex,B: 20-50 pc,79.82580633494173,5711.430236183235,3.365308111365549,5708.06492807187,1697.149279406008,False,1696.713144182329,0.4361352236790026,0.00025698106169638025
6,Alessi_96,HSC_1314,7.3,8.9,8.1,125892541.1794166,125.8925411794166,799.513,64.689,864.202,25.98995,0.53488,11.15949,0.0479305057847625,0.0543612787139763,0.9456387212860236,817.2228742128242,20.863539485492076,10.78058,75.49977,37.76463,3.06742,0.71921,-12.50245,8.9597,75.15374,37.25731,2.87364,3.38847,-9.94498,8.58924,22.24379882389827,15.297147773228891,-128.0,1.4541141364161048,1.4541141364161048,True,6.946651050669379,A_compact_origin,A: Dmin < 20 pc,59.84676783552919,3726.485187987602,8.558775053090487,3717.9264129345115,435.39936087489593,False,435.28727986268694,0.11208101220898925,0.0002574211684274697
56,CWNU_426,HSC_2625,8.4,9.1,8.75,562341325.1903491,562.3413251903492,87.5619,23.0764,110.6383,145.98964,0.08075,12.39525,0.0065145922833343,0.0483166462760605,0.9516833537239394,105.29262839431532,153.5015479876161,29063.623855,208.54694,-57.85322,0.60821,-3.54679,-1.68704,-6.7192,208.90933,-60.56555,0.51835,-3.77984,-1.65106,0.76907,297.29094252758546,204.53186835280837,-17.0,1.4535189304327474,1.4535189304327474,True,92.75907417477708,C_wide_or_chance,C: >= 50 pc,18.263236412345456,1403.0021167885675,0.05952813633534657,1402.9425886522322,23568.722341396297,False,23562.72523459441,5.9971068018858205,0.000254451926371607
46,Alessi_2(1),CWNU_1137(1),8.85,8.55,8.7,501187233.6272715,501.1872336272715,332.8422,213.5832,546.4254,76.58162,0.24777,5.25317,0.047165806551092,0.0542434685227116,0.9457565314772884,516.7853910150899,21.201800056504016,451.96341,71.73648,55.10099,1.62752,-0.96835,-1.08579,-10.13609,66.54316,58.32485,1.46985,-1.28937,-1.47931,-5.4179,81.84294822526786,56.54724830482143,-12.0,1.4473374156791574,1.4473374156791574,True,25.29569992044643,C_wide_or_chance,C: >= 50 pc,130.09919043119154,1795.0952975834869,3.9924732279511512,1791.1028243555356,449.6198709652187,False,449.5163256359737,0.10354532924498017,0.00023029526925199027
54,HSC_2304,NGC_3114,8.25,7.9,8.075,118850222.74370164,118.85022274370164,280.2901,4057.3105,4337.6006,88.83905,0.64815,5.74707,0.1127792074918175,0.0652738331911529,0.9347261668088472,4054.468781985755,8.866882666049525,383.29123,147.57269,-60.11266,0.90052,-7.0883,4.10404,-1.99437,150.52974,-60.03539,0.97358,-7.35743,3.82889,-3.72063,87.76306629672841,61.011491010593474,-23.0,1.438467817177096,1.438467817177096,True,26.751575286134937,C_wide_or_chance,C: >= 50 pc,262.17811888352514,4329.716107321851,55.055813792066694,4274.660293529784,78.64230512828684,False,78.62160821348954,0.020696914797298405,0.0002631778756171522
42,Theia_752,Theia_962,8.4,7.7,8.05,112201845.43019652,112.20184543019651,49.7326,39.5298,89.2624,65.01757,0.10868,2.27464,0.047778989202687,0.054337916803296,0.945662083196704,84.41206713513746,20.9297018770703,1039.3485449999998,28.58239,63.0841,1.34633,-3.62409,0.25512,-13.00119,27.10182,68.30143,1.35861,-4.44055,0.4334,-11.56579,68.08992311177028,48.60781424700411,-19.5,1.4008019938063132,1.4008019938063132,True,19.482108864766168,B_loose_complex,B: 20-50 pc,22.024051913011526,56.97608056978196,0.13004574185956339,56.8460348279224,438.1233845496497,False,438.05242066304004,0.07096388660966113,0.00016197237835776659
73,CWNU_11(1),HSC_1561,8.15,8.9,8.525,334965439.1578279,334.9654391578279,96.9981,41.4854,138.4835,106.1257,0.10596,19.59888,0.005406431387916,0.0481640087643897,0.9518359912356102,131.81357949227663,184.96489241223105,3486.875405,91.11938,18.07306,1.06877,-0.00218,-1.49189,3.46514,95.66828,14.38379,1.00154,-0.0471,-1.97223,23.32404,115.05007192415306,84.96520492397046,-4.0,1.3540845576386649,1.3540845576386649,True,30.084867000182598,C_wide_or_chance,C: >= 50 pc,29.05764930652388,5580.755423504489,0.16307937194598415,5580.592344132543,34221.09955974671,False,34212.01142506821,9.088134678502684,0.00026557108904802095
129,HSC_277,HXHWL_37,8.1,8.9,8.5,316227766.01683795,316.227766016838,34.2331,71.8369,106.07,161.92684,0.07507,19.38907,0.0038717689914988,0.0479533810142502,0.9520466189857498,100.98358487581848,258.2798721193553,51715.41419,283.85428,-6.50127,0.96609,0.0167,-2.9922,0.62206,277.89605,-11.49284,0.88531,-0.00868,-3.06749,20.98978,173.45936403296636,128.3022822032164,-6.5,1.3519585236856988,1.3519585236856988,True,45.157081829749956,C_wide_or_chance,C: >= 50 pc,23.184687295088153,4357.979712604438,0.06531847845706416,4357.914394125981,66718.94103395368,False,66708.49234199051,10.448691963174497,0.00015660758101446922
19,CWNU_361,NGC_1582,7.35,8.4,7.875,74989420.93324558,74.98942093324558,250.6748,358.6051,609.2799,46.92114,0.33425,32.83058,0.0101810568074033,0.0488249422319349,0.9511750577680652,579.5318440794209,98.22163051608078,55.723275,64.4138,42.78835,1.03705,2.04455,-1.39779,-23.17358,67.98189,43.74367,1.03269,2.1593,-1.39038,-21.30303,46.85537273919744,35.59632472066173,-21.5,1.3162980478150443,1.3162980478150443,True,11.259048018535715,B_loose_complex,B: 20-50 pc,147.5401727867274,79512.86506479864,8.239856955618368,79504.62520784301,9649.787064638615,False,9647.488701237491,2.2983634011234244,0.00023817762876299263
